category_id;title;energy;protein;carbohydrate;fat;vgn;veg;gf
1;Blattspinat;23;3;4;0;1;1;1
2;Brokkoli;34;3;7;0;1;1;1
3;Sükartoffeln;86;2;20;0;1;1;1
4;Hühnerbrust;263;15;15;16;0;0;1
5;Avocado;167;2;9;15;1;1;1
6;Heidelbeeren;57;1;15;0;1;1;1
7;Hummus;177;5;20;9;1;1;1
3;Kartoffeln;58;3;12;0;1;1;1
3;Quinoa;368;14;64;6;1;1;1
3;Hirse;378;11;73;4;1;1;1
3;Reis;358;7;79;1;1;1;1
3;Vollkornreis;357;3;23;1;1;1;1
1;Rucola;28;3;1;1;1;1;1
1;Feldsalat;18;2;1;0;1;1;1
1;Endiviensalat;18;2;1;0;1;1;1
1;Vogerlsalat;14;2;1;0;1;1;1
1;Chicorée;16;1;2;1;1;1;1
2;Karotten;26;1;5;4;1;1;1
2;Gurke;14;1;2;0;1;1;1
2;Paprika;43;1;6;1;1;1;1
2;Zucchini;19;2;2;0;1;1;1
2;Rote Rübe;41;2;8;0;1;1;1
2;Melanzani;17;1;2;0;1;1;1
4;Lachs;208;20;0;13;0;0;1
4;Kichererbsen;128;8;21;2;1;1;1
4;Tofu;76;8;2;5;1;1;1
4;Ei;137;12;2;9;0;1;1
4;Seitan;148;28;3;2;1;1;0
4;Edamame;121;12;9;5;1;1;1
4;Faschiertes;246;17;1;20;0;0;1
5;Walnüsse;662;14;11;62;1;1;1
5;Erdnüsse;576;30;8;48;1;1;1
5;Cashewkerne;575;21;31;41;1;1;1
5;Mandeln;589;24;6;53;1;1;1
5;Leinsamen;480;18;29;42;1;1;1
5;Chiasamen;111;17;42;31;1;1;1
6;Himbeeren;34;1;5;0;1;1;1
6;Erdbeeren;64;2;11;1;1;1;1
6;Birne;57;0;15;0;1;1;1
6;Apfel;61;0;14;0;1;1;1
6;Brombeeren;44;1;6;0;1;1;1
6;Granatapfelkerne;74;1;17;1;1;1;1
6;Mango;60;1;13;0;1;1;1
7;Hüttenkäse;102;13;3;4;0;1;1
7;Feta;234;17;1;17;0;1;1
7;Ricotta;122;11;0;8;0;1;1
